2020-04-07 17:58:06.269 MSK [11468] СООБЩЕНИЕ:  система БД была выключена: 2020-04-07 17:57:49 MSK
2020-04-07 17:58:06.319 MSK [240] СООБЩЕНИЕ:  система БД готова принимать подключения
2020-04-07 18:39:15.280 MSK [4736] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.322 MSK [4052] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.362 MSK [15416] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.401 MSK [14860] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.442 MSK [6564] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.482 MSK [10836] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.522 MSK [11532] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.564 MSK [5592] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.707 MSK [16196] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:39:15.747 MSK [15736] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 18:40:03.945 MSK [6476] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-07 19:15:39.290 MSK [11220] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.330 MSK [3572] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.371 MSK [4864] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.511 MSK [1808] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.551 MSK [76] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.598 MSK [15972] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.730 MSK [16072] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.770 MSK [15640] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.800 MSK [14992] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:15:39.839 MSK [9960] СООБЩЕНИЕ:  неверная длина стартового пакета
2020-04-07 19:16:49.859 MSK [568] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-07 19:16:53.015 MSK [9756] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-07 19:18:38.314 MSK [7584] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-07 19:21:59.323 MSK [10480] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-07 20:09:20.903 MSK [9160] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
